n,signature,new_signature_at_n,first_seen_n
2,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",1,2
3,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",1,3
4,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",1,4
5,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",1,5
6,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",1,6
7,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",1,7
8,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",1,8
9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,9
10,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,10
11,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
12,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
13,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
14,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
15,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
16,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
17,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
18,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
19,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
20,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
21,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
22,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
23,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
24,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
25,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
26,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
27,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
28,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
29,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
30,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
31,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
32,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
33,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
34,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
35,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
36,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
37,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
38,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
39,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
40,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
41,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
42,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
43,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
44,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
45,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
46,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
47,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
48,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
49,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
50,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
51,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
52,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
53,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
54,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
55,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
56,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
57,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
58,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
59,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
60,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
61,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
62,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
63,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
64,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
65,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
66,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
